label,acc dist1,acc dist2,acc dist3,acc measured dist1,acc measured dist2,acc measured dist3,acc estimated x,acc estimated y,acc estimated,acc measured x,acc measured y,acc measured
a,124.8468533007603,115.18001688241722,139.71415366873794,101.59426921172337,326.89654352528123,467.58432992036586,144.8831282096974,42.19992193928718,150.9037913755302,199.8295131472471,11.80551413213908,200.1779320719193
b,214.88909031984053,205.12180288793616,121.67686716705859,283.5947371527751,269.5753662763339,277.8300083118718,22.983770876029894,6.322396788004383,23.837500389655123,0.341227686605464,12.070008940516516,12.074831351130944
c,256.9646416848502,216.2666987382783,35.56382186701131,476.17604001677967,329.950934927489,106.95561206842689,172.78872553606715,21.03920907382725,174.0649074076408,200.04204202102733,12.217442871696079,200.4147811072467
d,402.1434367576385,76.2790790308934,43.21392290562261,550.886832028131,192.6954954108994,281.6207461524927,234.82751809618435,172.5817612879066,291.4248232125221,200.13355627821,212.297495694166,291.7596048574543
e,45.731686990577884,18.759578651970045,104.28580907378625,387.63947773167956,72.76559114423118,388.2152724104815,34.08389780881993,67.20447591807383,75.35352462403497,0.03487079140603555,211.77659354512036,211.7765964160044
f,39.25880966945573,16.01161835921033,169.9079636929369,278.02079324754857,192.42254070442047,543.4662340856852,121.65676601900427,129.62405271240132,177.7716618580986,199.9077655518247,211.82168056298133,291.2585433673131
a,115.823389784727,91.04888594177737,150.020485862111,102.45982195107577,324.45535031220015,468.17992968848927,147.2168251229609,19.01393752289607,148.43962887116447,199.81439505136632,12.092287241551517,200.17995873832047
b,215.31599690876106,208.9959953524691,125.20764737702541,284.2253829446489,267.9714065836437,278.4802428038513,21.92125048387186,6.317758216196395,22.813489247701003,0.3339358220131885,12.251645975904026,12.256196075949052
c,259.79612100463,220.2217780250572,33.54943882206831,476.8030962593164,328.78442399129415,107.56359233787012,173.38487728860213,21.113004703338106,174.665608062912,200.04234497278492,12.360545514733886,200.4238580300072
d,406.9173696251979,70.09600564070723,48.37316233153774,551.5716357869834,191.42189546062173,282.30268696703246,233.9228870875183,177.71650853889722,293.77384926268667,200.13098045901114,212.4544315278083,291.87205213121945
e,27.460055640109886,39.95121149460176,110.09289047731289,387.8930395007226,73.71278236947911,388.976056732806,48.95824629714451,56.9092249866909,75.07043205602102,0.06467331370316742,211.7587125413673,211.75872241731844
f,31.75371507209877,8.232119622556638,181.10478228820705,277.97364928709055,193.66103187190822,544.4225545809327,132.77433181920375,128.11049629885198,184.50290635102255,199.97317063032182,211.7715922818052,291.26701884956856
a,107.28064298586276,6.391522381545997,180.00571777974,102.67199360006133,323.2282345714765,469.83379339049486,160.8509662396978,74.13467402444707,177.11291097194305,199.91337985148465,12.29976468157389,200.29139685684476
b,214.88909031984053,205.12180288793616,121.82527770424193,284.3155295771157,266.7336111467245,279.6108942939223,22.93566689175651,6.286318799799332,23.781560500150665,0.2686703834897344,12.408824453323433,12.411732678734348
